"slug","city_name_ru","hotel_name","image_url","star_rating","region_id","tripadvisor_rating","max_tripadvisor_rating","facilities","price"
"doria_3","Амстердам","Hotel Doria","https://cdn.ostrovok.ru/t/orig/second/40/cb/40cb9c2fbbedeef8efb5b3cbc18f018206778f90.jpeg",,378,3.5,5,"",11319.75
"nieuwe_prinsengracht_inh_22792_","Амстердам","Nieuwe Prinsengracht","https://cdn.ostrovok.ru/t/orig/second/48/7f/487f838b2e8b16fafd32128ab045952ce2af4623.jpeg",,378,0,5,"",14232.61
"hotel_de_munck_2","Амстердам","Hotel de Munck","https://cdn.ostrovok.ru/t/orig/second/6b/ed/6bed69da8d61f041cb28e45a1b6608f75b195065.jpeg",,378,3.5,5,"",11029.03
"hemony_apartment","Амстердам","Hemony Apartment","https://cdn.ostrovok.ru/t/orig/carsolize/23/8b/238bb3e1d8d9700b66a2ce8ac8cba62763b49c90.jpeg",,378,0,5,"",17583.37
"wild_roses_","Амстердам","Wild Roses","https://cdn.ostrovok.ru/t/orig/second/03/bd/03bd1a65bdfe9d573a32b2020310c0b0f2671b11.jpeg",,378,0,5,"",8127.61
"hotel_tamara_3","Амстердам","Hotel Tamara","https://cdn.ostrovok.ru/t/orig/second/da/75/da75ca9e970fc23aabaab724b274bdb5aa272aa7.jpeg",,378,2,5,"",9031.92
"studio_rokin","Амстердам","Studio Rokin","https://cdn.ostrovok.ru/t/orig/carsolize/4d/17/4d17649039b61fbab874a2c89d83027204884dd8.jpeg",,378,3.5,5,"",51510.05
"the_lobby","Амстердам","The Lobby","https://cdn.ostrovok.ru/t/orig/second/53/7f/537fc5f7f8645fd9058a9553ca66b6d003a538c0.jpeg",,378,0,5,"",8127.61
"lalinghousingamsterdam","Амстердам","Lalinghousingamsterdam","https://cdn.ostrovok.ru/t/orig/second/40/17/40170159a56ccf55b202be90e55887b8e0eff3b0.jpeg",,378,0,5,"",8127.61
"5star_city_centre_family_house","Амстердам","5star City Centre Family House","https://cdn.ostrovok.ru/t/orig/second/8a/40/8a402bbffc10436a13f6e737923d0564931e4a7b.jpeg",,378,0,5,"",13580.15
